"Lat","Lon"
-14.75,125.5
-15.25,125.5
-15.75,125.5
-16.25,125.5
-16.75,125.5
-17.25,125.5
-17.75,125.5
-18.25,125.5
-18.75,125.5
-19.25,125.5
-19.75,125.5
-20.25,125.5
-20.75,125.5
-21.25,125.5
-21.75,125.5
-22.25,125.5
-22.75,125.5
-23.25,125.5
-23.75,125.5
-24.25,125.5
-24.75,125.5
-25.25,125.5
-25.75,125.5
-26.25,125.5
-26.75,125.5
-27.25,125.5
-27.75,125.5
-28.25,125.5
-28.75,125.5
-29.25,125.5
-29.75,125.5
-30.25,125.5
-30.75,125.5
-31.25,125.5
-31.75,125.5
-32.25,125.5
-14.25,126.5
-14.75,126.5
-15.25,126.5
-15.75,126.5
-16.25,126.5
-16.75,126.5
-17.25,126.5
-17.75,126.5
-18.25,126.5
-18.75,126.5
-19.25,126.5
-19.75,126.5
-20.25,126.5
-20.75,126.5
-21.25,126.5
-21.75,126.5
-22.25,126.5
-22.75,126.5
-23.25,126.5
-23.75,126.5
-24.25,126.5
-24.75,126.5
-25.25,126.5
-25.75,126.5
-26.25,126.5
-26.75,126.5
-27.25,126.5
-27.75,126.5
-28.25,126.5
-28.75,126.5
-29.25,126.5
-29.75,126.5
-30.25,126.5
-30.75,126.5
-31.25,126.5
-31.75,126.5
-32.25,126.5
-14.25,127.5
-14.75,127.5
-15.25,127.5
-15.75,127.5
-16.25,127.5
-16.75,127.5
-17.25,127.5
-17.75,127.5
-18.25,127.5
-18.75,127.5
-19.25,127.5
-19.75,127.5
-20.25,127.5
-20.75,127.5
-21.25,127.5
-21.75,127.5
-22.25,127.5
-22.75,127.5
-23.25,127.5
-23.75,127.5
-24.25,127.5
-24.75,127.5
-25.25,127.5
-25.75,127.5
-26.25,127.5
-26.75,127.5
-27.25,127.5
-27.75,127.5
-28.25,127.5
-28.75,127.5
-29.25,127.5
-29.75,127.5
-30.25,127.5
-30.75,127.5
-31.25,127.5
-31.75,127.5
-15.25,128.5
-15.75,128.5
-16.25,128.5
-16.75,128.5
-17.25,128.5
-17.75,128.5
-18.25,128.5
-18.75,128.5
-19.25,128.5
-19.75,128.5
-20.25,128.5
-20.75,128.5
-21.25,128.5
-21.75,128.5
-22.25,128.5
-22.75,128.5
-23.25,128.5
-23.75,128.5
-24.25,128.5
-24.75,128.5
-25.25,128.5
-25.75,128.5
-26.25,128.5
-26.75,128.5
-27.25,128.5
-27.75,128.5
-28.25,128.5
-28.75,128.5
-29.25,128.5
-29.75,128.5
-30.25,128.5
-30.75,128.5
-31.25,128.5
-31.75,128.5
-14.25,129.5
-15.25,129.5
-15.75,129.5
-16.25,129.5
-16.75,129.5
-17.25,129.5
-17.75,129.5
-18.25,129.5
-18.75,129.5
-19.25,129.5
-19.75,129.5
-20.25,129.5
-20.75,129.5
-21.25,129.5
-21.75,129.5
-22.25,129.5
-22.75,129.5
-23.25,129.5
-23.75,129.5
-24.25,129.5
-24.75,129.5
-25.25,129.5
-25.75,129.5
-26.25,129.5
-26.75,129.5
-27.25,129.5
-27.75,129.5
-28.25,129.5
-28.75,129.5
-29.25,129.5
-29.75,129.5
-30.25,129.5
-30.75,129.5
-31.25,129.5
-11.75,130.5
-12.75,130.5
-13.25,130.5
-13.75,130.5
-14.25,130.5
-14.75,130.5
-15.25,130.5
-15.75,130.5
-16.25,130.5
-16.75,130.5
-17.25,130.5
-17.75,130.5
-18.25,130.5
-18.75,130.5
-19.25,130.5
-19.75,130.5
-20.25,130.5
-20.75,130.5
-21.25,130.5
-21.75,130.5
-22.25,130.5
-22.75,130.5
-23.25,130.5
-23.75,130.5
-24.25,130.5
-24.75,130.5
-25.25,130.5
-25.75,130.5
-26.25,130.5
-26.75,130.5
-27.25,130.5
-27.75,130.5
-28.25,130.5
-28.75,130.5
-29.25,130.5
-29.75,130.5
-30.25,130.5
-30.75,130.5
-31.25,130.5
-12.75,131.5
-13.25,131.5
-13.75,131.5
-14.25,131.5
-14.75,131.5
-15.25,131.5
-15.75,131.5
-16.25,131.5
-16.75,131.5
-17.25,131.5
-17.75,131.5
-18.25,131.5
-18.75,131.5
-19.25,131.5
-19.75,131.5
-20.25,131.5
-20.75,131.5
-21.25,131.5
-21.75,131.5
-22.25,131.5
-22.75,131.5
-23.25,131.5
-23.75,131.5
-24.25,131.5
-24.75,131.5
-25.25,131.5
-25.75,131.5
-26.25,131.5
-26.75,131.5
-27.25,131.5
-27.75,131.5
-28.25,131.5
-28.75,131.5
-29.25,131.5
-29.75,131.5
-30.25,131.5
-30.75,131.5
-31.25,131.5
-12.25,132.5
-12.75,132.5
-13.25,132.5
-13.75,132.5
-14.25,132.5
-14.75,132.5
-15.25,132.5
-15.75,132.5
-16.25,132.5
-16.75,132.5
-17.25,132.5
-17.75,132.5
-18.25,132.5
-18.75,132.5
-19.25,132.5
-19.75,132.5
-20.25,132.5
-20.75,132.5
-21.25,132.5
-21.75,132.5
-22.25,132.5
-22.75,132.5
-23.25,132.5
-23.75,132.5
-24.25,132.5
-24.75,132.5
-25.25,132.5
-25.75,132.5
-26.25,132.5
-26.75,132.5
-27.25,132.5
-27.75,132.5
-28.25,132.5
-28.75,132.5
-29.25,132.5
-29.75,132.5
-30.25,132.5
-30.75,132.5
-31.25,132.5
-31.75,132.5
-12.25,133.5
-12.75,133.5
-13.25,133.5
-13.75,133.5
-14.25,133.5
-14.75,133.5
-15.25,133.5
-15.75,133.5
-16.25,133.5
-16.75,133.5
-17.25,133.5
-17.75,133.5
-18.25,133.5
-18.75,133.5
-19.25,133.5
-19.75,133.5
-20.25,133.5
-20.75,133.5
-21.25,133.5
-21.75,133.5
-22.25,133.5
-22.75,133.5
-23.25,133.5
-23.75,133.5
-24.25,133.5
-24.75,133.5
-25.25,133.5
-25.75,133.5
-26.25,133.5
-26.75,133.5
-27.25,133.5
-27.75,133.5
-28.25,133.5
-28.75,133.5
-29.25,133.5
-29.75,133.5
-30.25,133.5
-30.75,133.5
-31.25,133.5
-31.75,133.5
-12.25,134.5
-12.75,134.5
-13.25,134.5
-13.75,134.5
-14.25,134.5
-14.75,134.5
-15.25,134.5
-15.75,134.5
-16.25,134.5
-16.75,134.5
-17.25,134.5
-17.75,134.5
-18.25,134.5
-18.75,134.5
-19.25,134.5
-19.75,134.5
-20.25,134.5
-20.75,134.5
-21.25,134.5
-21.75,134.5
-22.25,134.5
-22.75,134.5
-23.25,134.5
-23.75,134.5
-24.25,134.5
-24.75,134.5
-25.25,134.5
-25.75,134.5
-26.25,134.5
-26.75,134.5
-27.25,134.5
-27.75,134.5
-28.25,134.5
-28.75,134.5
-29.25,134.5
-29.75,134.5
-30.25,134.5
-30.75,134.5
-31.25,134.5
-31.75,134.5
-32.25,134.5
-32.75,134.5
-33.75,134.5
-12.25,135.5
-12.75,135.5
-13.25,135.5
-13.75,135.5
-14.25,135.5
-15.25,135.5
-15.75,135.5
-16.25,135.5
-16.75,135.5
-17.25,135.5
-17.75,135.5
-18.25,135.5
-18.75,135.5
-19.25,135.5
-19.75,135.5
-20.25,135.5
-20.75,135.5
-21.25,135.5
-21.75,135.5
-22.25,135.5
-22.75,135.5
-23.25,135.5
-23.75,135.5
-24.25,135.5
-24.75,135.5
-25.25,135.5
-25.75,135.5
-26.25,135.5
-26.75,135.5
-27.25,135.5
-27.75,135.5
-28.25,135.5
-28.75,135.5
-29.25,135.5
-29.75,135.5
-30.25,135.5
-30.75,135.5
-31.25,135.5
-31.75,135.5
-32.25,135.5
-32.75,135.5
-33.25,135.5
-33.75,135.5
-34.25,135.5
-34.75,135.5
-12.25,136.5
-12.75,136.5
-15.75,136.5
-16.25,136.5
-16.75,136.5
-17.25,136.5
-17.75,136.5
-18.25,136.5
-18.75,136.5
-19.25,136.5
-19.75,136.5
-20.25,136.5
-20.75,136.5
-21.25,136.5
-21.75,136.5
-22.25,136.5
-22.75,136.5
-23.25,136.5
-23.75,136.5
-24.25,136.5
-24.75,136.5
-25.25,136.5
-25.75,136.5
-26.25,136.5
-26.75,136.5
-27.25,136.5
-27.75,136.5
-28.25,136.5
-28.75,136.5
-29.25,136.5
-29.75,136.5
-30.25,136.5
-30.75,136.5
-31.25,136.5
-31.75,136.5
-32.25,136.5
-32.75,136.5
-33.25,136.5
-33.75,136.5
-16.25,137.5
-16.75,137.5
-17.25,137.5
-17.75,137.5
-18.25,137.5
-18.75,137.5
-19.25,137.5
-19.75,137.5
-20.25,137.5
-20.75,137.5
-21.25,137.5
-21.75,137.5
-22.25,137.5
-22.75,137.5
-23.25,137.5
-23.75,137.5
-24.25,137.5
-24.75,137.5
