"Station","Latitude","Longitude"
"033293","-21.1606"," 148.0097"
"010914","-34.2064"," 117.7117"
"029165","-18.6517"," 139.2539"
"035075","-24.0747"," 147.7372"
"009895","-33.7878"," 123.1878"
"048231","-30.0905"," 147.5481"
"036095","-21.8497"," 146.0014"
"035196","-23.0383"," 148.6444"
"026071","-37.2068"," 140.1609"
"036079","-21.3614"," 145.1717"
"040302","-27.6242"," 152.1158"
"041274","-28.3144"," 152.1142"
"014841","-16.8141"," 131.2195"
"093013","-42.3750"," 147.2864"
"039247","-25.1253"," 150.7917"
"012032","-29.0869"," 121.6753"
"010572","-34.2675"," 118.5064"
"094062","-43.0669"," 147.2531"
"044060","-28.2567"," 147.2544"
"040241","-27.3617"," 152.8861"
"036048","-21.6039"," 144.9033"
"058037","-28.8070"," 153.2628"
"023027","-34.8744"," 138.6858"
"074108","-34.6313"," 146.0941"
"039098","-23.6211"," 150.1569"
"040869","-26.6656"," 152.4594"
"040802","-26.5972"," 152.7269"
"040806","-26.3664"," 152.8528"
"030123","-20.8217"," 143.5767"
"086324","-37.8797"," 145.2964"
"030084","-17.3908"," 144.1811"
"023808","-35.3001"," 138.6415"
"014830","-17.5987"," 131.5444"
"041200","-27.0278"," 151.3139"
"046051","-29.4850"," 143.5228"
"041135","-27.3008"," 150.7392"
"010806","-33.2706"," 118.2606"
"039008","-23.7431"," 149.7831"
"044011","-26.8175"," 147.6672"
"023007","-34.5342"," 138.4347"
"040062","-26.8094"," 152.8700"
"040124","-27.5675"," 152.6053"
"027060","-14.7947"," 142.4333"
"002065","-17.3936"," 126.2281"
"023849","-35.5147"," 138.7989"
"026094","-36.9563"," 139.9947"
"033026","-21.1436"," 148.6322"
"069027","-36.7297"," 149.9856"
"010648","-32.6814"," 116.6756"
"025559","-34.5934"," 140.5213"
"040855","-28.0283"," 153.1767"
"015561","-23.2674"," 131.2733"
"091281","-41.3469"," 146.4225"
"003095","-18.3192"," 125.7806"
"031201","-16.9083"," 145.6964"
"070126","-35.5567"," 149.2711"
"009660","-34.1606"," 115.1414"
"037072","-21.6478"," 139.1832"
"008099","-28.6928"," 114.7319"
"039025","-25.2361"," 152.2781"
"040857","-27.9681"," 152.9861"
"040858","-28.0033"," 152.6875"
"068237","-34.4724"," 150.8178"
"023103","-34.6453"," 138.5306"
"068222","-35.0870"," 150.5135"
"039266","-25.0947"," 152.3158"
"027049","-13.6578"," 142.6689"
"040295","-27.5292"," 152.9142"
"041236","-27.2447"," 151.1683"
"039265","-24.9528"," 152.0611"
"042011","-27.8586"," 149.5553"
"090011","-38.2331"," 143.1450"
"092121","-41.4425"," 147.7364"
"033252","-20.6719"," 147.6636"
"094194","-43.1319"," 147.0481"
"023845","-35.3889"," 138.8228"
"033202","-22.5664"," 149.6678"
"070250","-35.2322"," 149.0375"
"032100","-18.4833"," 144.8000"
"041413","-28.3583"," 151.5619"
"037082","-22.1750"," 143.1667"
"079018","-36.8267"," 141.4681"
"021134","-33.9964"," 138.5384"
"091298","-41.2200"," 145.7133"
"031195","-17.3733"," 145.3850"
"094154","-43.1547"," 147.0625"
"009838","-34.2939"," 115.1461"
"009794","-33.8039"," 120.6375"
"035204","-24.0606"," 148.8208"
"082062","-36.0508"," 147.9389"
"029156","-19.2247"," 141.6397"
"036159","-22.5036"," 146.9389"
"016075","-31.4382"," 137.1778"
"062079","-32.6532"," 148.9819"
"056068","-30.3793"," 151.7521"
"066017","-33.8681"," 151.1190"
"062057","-31.7412"," 149.8998"
"009550","-34.4189"," 116.2086"
"040192","-28.2264"," 153.2786"
"039234","-25.1731"," 152.0325"
"074023","-35.6613"," 145.5610"
"096034","-41.5836"," 145.9358"
"075174","-34.3229"," 146.0684"
"003078","-18.7267"," 125.9875"
"009847","-33.7794"," 122.7150"
"004082","-20.6150"," 117.1633"
"043059","-26.1739"," 148.4061"
"032086","-18.5225"," 146.0019"
"041304","-28.3219"," 151.7847"
"055158","-31.1564"," 150.8655"
"041390","-28.3397"," 151.3942"
"009630","-34.2111"," 117.1025"
"066040","-34.0405"," 151.0982"
"058025","-29.7067"," 152.9400"
"049030","-32.2087"," 146.3947"
"010746","-32.3642"," 119.1986"
"094215","-42.8156"," 147.6225"
"007205","-24.3075"," 116.9094"
"074132","-34.6389"," 146.2627"
"008020","-28.9822"," 116.1683"
"063096","-33.8953"," 149.8605"
"009768","-34.3606"," 117.6186"
"025511","-35.4922"," 139.9419"
"086232","-37.8309"," 144.9839"
"061327","-32.8247"," 151.2614"
"015657","-20.4445"," 135.2627"
"039251","-24.7275"," 151.4308"
"012312","-33.5906"," 122.4519"
"014702","-16.9764"," 135.8129"
"063214","-33.3561"," 149.4058"
"061217","-33.2904"," 150.9708"
"069065","-36.5675"," 149.7509"
"068083","-34.9284"," 150.7482"
"083057","-36.6074"," 146.7888"
"061215","-32.8722"," 150.2992"
"019070","-31.5286"," 138.6093"
"094083","-42.9000"," 147.2686"
"033096","-20.2081"," 148.1300"
"068085","-34.8485"," 150.1352"
"040312","-27.7354"," 152.9443"
"061329","-32.8323"," 151.3085"
"040317","-27.7508"," 152.6664"
"044142","-27.6844"," 147.6981"
"057045","-31.1893"," 151.8551"
"007094","-24.6514"," 116.1647"
"033094","-20.0133"," 148.2247"
"086224","-37.9764"," 145.2247"
"040537","-27.4973"," 153.4078"
"068080","-34.9158"," 150.7312"
"038049","-24.8519"," 142.6964"
"033158","-20.5031"," 148.3442"
"061168","-32.3147"," 150.7552"
"007179","-24.4114"," 118.9408"
"054046","-29.3992"," 151.4107"
"041170","-27.5433"," 151.6383"
"008022","-30.2911"," 116.3306"
"041397","-28.1422"," 150.1319"
"061152","-32.9995"," 151.2908"
"056088","-29.5085"," 151.6760"
"041285","-28.3272"," 151.8450"
"041276","-27.9292"," 152.1606"
"041240","-27.1858"," 151.1419"
"070165","-36.3541"," 149.1980"
"041166","-27.6764"," 151.6022"
"063142","-33.5770"," 149.8591"
"023365","-34.2318"," 138.6952"
"056075","-31.0340"," 151.4409"
"054045","-29.3411"," 151.2894"
"055122","-30.8415"," 150.9097"
"041314","-27.7578"," 151.4483"
"055181","-31.2547"," 151.1208"
"035165","-24.0712"," 146.6129"
"056111","-29.7828"," 151.3617"
"041277","-26.7675"," 151.2075"
"055190","-31.3658"," 150.8357"
"079082","-36.7007"," 142.2009"
"054082","-29.6382"," 151.4055"
"041310","-26.8886"," 151.2006"
"045052","-28.0400"," 143.5542"
"054065","-29.6050"," 151.2670"
"054074","-29.6627"," 151.0408"
"041198","-27.1464"," 151.3033"
"051133","-31.2294"," 148.8861"
"056095","-29.5781"," 151.5557"
"021121","-33.9595"," 138.9328"
"090153","-38.2550"," 143.1256"
"096014","-42.2539"," 146.6200"
"023306","-34.1697"," 138.8095"
"044137","-27.8717"," 148.0344"
"023360","-34.3303"," 139.0923"
"023323","-34.1988"," 138.9376"
"015585","-21.7507"," 135.2382"
"050125","-32.3108"," 146.6723"
"085236","-38.3181"," 146.5645"
"043060","-26.0756"," 147.9044"
"022044","-34.2390"," 137.9883"
"087095","-37.6111"," 144.3000"
"004086","-20.8956"," 117.6447"
"056057","-30.0867"," 151.3909"
"046052","-29.4089"," 143.3808"
"072056","-35.3946"," 148.2469"
