st,065020,65  ,MANILDRA (GEORGE ST)                    ,01/1893,       ,-33.1830, 148.6941,GPS            ,NSW, 438.0,      ,     ,2003,2018,#
st,075042,75  ,MAUDE POST OFFICE                       ,01/1893,       ,-34.4760, 144.3013,GPS            ,NSW,  76.0,      ,     ,2003,2018,#
st,007055,07  ,MOUNT GOULD                             ,01/1893,       ,-25.8058, 117.3905,GPS            ,WA , 600.0,      ,     ,2003,2018,#
st,033060,33  ,PLEYSTOWE SUGAR MILL                    ,01/1893,       ,-21.1417, 149.0378,GPS            ,QLD,  27.0,      ,     ,2003,2018,#
st,029139,29  ,SWEERS ISLAND                           ,01/1893,       ,-17.1142, 139.5981,GPS            ,QLD,   4.0,   4.5,94257,2003,2018,#
st,068000,68  ,ALBION PARK POST OFFICE                 ,01/1892,       ,-34.5712, 150.7761,GPS            ,NSW,   8.0,      ,     ,2003,2018,#
st,036002,36  ,AMBO STATION                            ,01/1892,       ,-22.8103, 144.4033,               ,QLD, 220.0,      ,     ,2003,2018,#
st,078080,78  ,ANTWERP                                 ,08/1970,       ,-36.2964, 142.0243,GPS            ,VIC, 100.0,      ,     ,2003,2018,#
st,063118,63  ,BILPIN (FERN GROVE)                     ,01/1892,       ,-33.5157, 150.4892,GPS            ,NSW, 610.0,      ,     ,2003,2018,#
st,010073,10  ,KELLERBERRIN                            ,01/1892,       ,-31.6183, 117.7217,GPS            ,WA , 250.0,      ,95603,2003,2018,#
st,032031,32  ,LUCINDA TOWNSHIP                        ,01/1892,       ,-18.5406, 146.3356,GPS            ,QLD,   6.0,      ,     ,2003,2018,#
st,024533,24B ,MURRAY BRIDGE (TEPKO)                   ,01/1892,       ,-34.9692, 139.1874,GPS            ,SA , 108.0,      ,     ,2003,2018,#
st,018063,18  ,PENONG                                  ,01/1892,       ,-31.9320, 133.0056,GPS            ,SA ,  16.0,      ,     ,2003,2018,#
st,063073,63  ,ROCKLEY POST OFFICE                     ,01/1892,       ,-33.6896, 149.5633,GPS            ,NSW, 820.0,      ,     ,2003,2018,#
st,063076,63  ,SOFALA OLD POST OFFICE                  ,01/1892,       ,-33.0807, 149.6901,GPS            ,NSW, 579.0,      ,     ,2003,2018,#
st,086117,86  ,TOOROURRONG RESERVOIR (TOOROURRONG)     ,01/1892,       ,-37.4770, 145.1513,GPS            ,VIC, 219.0,      ,     ,2003,2018,#
st,029047,29  ,UNDILLA STATION                         ,01/1892,       ,-19.6241, 138.6387,GPS            ,QLD, 250.0,      ,     ,2003,2018,#
st,074087,74  ,URANA (NOWRANIE)                        ,01/1892,       ,-35.3342, 146.0342,GPS            ,NSW, 115.0,      ,     ,2003,2018,#
st,055066,55  ,WALLABADAH (WOODTON)                    ,01/1892,       ,-31.6218, 150.8437,GPS            ,NSW, 640.0,      ,     ,2003,2018,#
st,023754,23C ,YANKALILLA                              ,01/1892,       ,-35.4581, 138.3501,GPS            ,SA ,  45.0,      ,     ,2003,2018,#
st,010505,10A ,ARTHUR RIVER                            ,01/1891,       ,-33.3392, 117.0350,GPS            ,WA , 300.0,      ,     ,2003,2018,#
st,011017,11  ,BALLADONIA                              ,01/1891,       ,-32.4569, 123.8653,GPS            ,WA , 151.0, 151.0,94642,2003,2018,#
st,081002,81  ,BEALIBA                                 ,09/1891,       ,-36.7892, 143.5437,GPS            ,VIC, 215.0,      ,     ,2003,2018,#
st,003030,03  ,BIDYADANGA                              ,01/1891,       ,-18.6844, 121.7803,GPS            ,WA ,  11.0,  12.0,94202,2003,2018,#
st,015085,15A ,BRUNETTE DOWNS                          ,01/1891,       ,-18.6370, 135.9450,GPS            ,NT , 218.0, 219.0,94242,2003,2018,#
st,037010,37  ,CAMOOWEAL TOWNSHIP                      ,01/1891,       ,-19.9225, 138.1214,GPS            ,QLD, 231.2, 231.5,94255,2003,2018,#
st,009007,09  ,CHIDLOW                                 ,01/1891,       ,-31.8622, 116.2658,GPS            ,WA , 300.0,      ,     ,2003,2018,#
st,073022,73  ,COOTAMUNDRA (LANDGROVE)                 ,01/1891,       ,-34.6479, 148.1606,GPS            ,NSW, 460.0,      ,     ,2003,2018,#
st,059009,59  ,CORAMBA (GLENFIDDICH)                   ,01/1891,       ,-30.2356, 153.0170,GPS            ,NSW,  95.0,      ,     ,2003,2018,#
st,010537,10A ,CRANBROOK                               ,01/1891,       ,-34.2958, 117.5533,GPS            ,WA , 255.0,      ,     ,2003,2018,#
st,040068,40  ,DOUBLE ISLAND POINT LIGHTHOUSE          ,01/1891,       ,-25.9319, 153.1906,GPS            ,QLD,  95.6,  95.7,94584,2003,2018,#
st,057005,57  ,DRAKE (VILLAGE RESOURCE CENTRE)         ,01/1891,       ,-28.9279, 152.3759,GPS            ,NSW, 490.0,      ,     ,2003,2018,#
st,079019,79  ,GREAT WESTERN (SEPPELT)                 ,08/1891,       ,-37.1847, 142.8553,GPS            ,VIC, 280.0,      ,     ,2003,2018,#
st,085049,85  ,LEONGATHA STH GIPPSLAND WATER           ,08/1896,       ,-38.4842, 145.9329,GPS            ,VIC,  51.8,      ,     ,2003,2018,#
st,094041,94  ,MAATSUYKER ISLAND LIGHTHOUSE            ,10/1891,       ,-43.6578, 146.2711,SURVEY         ,TAS, 146.5, 147.6,94962,2003,2018,#
st,023310,23B ,MANOORA                                 ,12/1891,       ,-34.0019, 138.8185,GPS            ,SA , 391.0,      ,     ,2003,2018,#
st,010614,10A ,NARROGIN                                ,01/1891,       ,-32.9342, 117.1797,GPS            ,WA , 338.0,      ,94627,2003,2018,#
st,033077,33  ,PACIFIC HEIGHTS                         ,01/1891,       ,-23.0965, 150.7343,GPS            ,QLD,  51.0,      ,     ,2003,2018,#
st,010626,10A ,PINGELLY                                ,01/1891,       ,-32.5336, 117.0831,GPS            ,WA , 297.0,      ,95616,2003,2018,#
st,018107,18  ,PORT LINCOLN (WOOLGA)                   ,01/1891,       ,-34.5911, 135.7572,GPS            ,SA , 228.0,      ,     ,2003,2018,#
